Line ID (1: Horizontal line | 2: Vertical line | 3: Top-left to bottom-right diagonal line | 4: Top-right to bottom-left diagonal line | 5: Largest circle | 6: Middle circle | 7: Smallest circle),Segment Distance (Pixels)
1.0,37.0
1.0,8.0
1.0,20.0
1.0,59.0
1.0,38.0
1.0,132.0
1.0,17.0
1.0,69.0
1.0,55.0
1.0,46.0
1.0,73.0
1.0,58.0
1.0,14.0
1.0,16.0
1.0,7.0
1.0,14.0
1.0,17.0
1.0,20.0
2.0,17.0
2.0,6.0
2.0,9.0
2.0,20.0
2.0,65.0
2.0,42.0
2.0,36.0
2.0,24.0
2.0,17.0
2.0,27.0
2.0,14.0
2.0,22.0
2.0,22.0
2.0,3.0
2.0,10.0
2.0,43.0
2.0,25.0
2.0,17.0
2.0,33.0
2.0,39.0
2.0,19.0
2.0,29.0
2.0,35.0
2.0,29.0
2.0,28.0
2.0,6.0
2.0,24.0
2.0,18.0
2.0,20.0
2.0,17.0
3.0,9.899494936611665
3.0,14.142135623730951
3.0,41.012193308819754
3.0,52.32590180780452
3.0,67.88225099390856
3.0,38.18376618407357
3.0,5.656854249492381
3.0,38.18376618407357
3.0,60.81118318204309
3.0,93.33809511662427
3.0,32.526911934581186
3.0,24.041630560342615
3.0,14.142135623730951
3.0,18.384776310850235
3.0,11.313708498984761
3.0,50.91168824543142
3.0,16.97056274847714
3.0,67.88225099390856
3.0,45.254833995939045
3.0,57.982756057296896
3.0,24.041630560342615
3.0,18.384776310850235
3.0,12.727922061357855
3.0,73.53910524340094
3.0,28.284271247461902
3.0,15.556349186104045
3.0,24.041630560342615
3.0,15.556349186104045
4.0,22.627416997969522
4.0,25.45584412271571
4.0,46.66904755831214
4.0,62.22539674441618
4.0,26.870057685088806
4.0,9.899494936611665
4.0,29.698484809834994
4.0,63.63961030678928
4.0,28.284271247461902
4.0,19.79898987322333
4.0,89.09545442950498
4.0,48.08326112068523
4.0,18.384776310850235
4.0,24.041630560342615
4.0,28.284271247461902
4.0,12.727922061357855
4.0,12.727922061357855
4.0,12.727922061357855
4.0,46.66904755831214
4.0,31.11269837220809
4.0,18.384776310850235
4.0,32.526911934581186
4.0,33.94112549695428
4.0,21.213203435596427
4.0,57.982756057296896
4.0,25.45584412271571
4.0,22.627416997969522
4.0,18.384776310850235
4.0,53.74011537017761
4.0,18.384776310850235
4.0,22.627416997969522
4.0,28.284271247461902
5.0,2.9620570003550717
5.0,57.09125568882858
5.0,45.22973787400574
5.0,8.062042475346896
5.0,12.197300134636347
5.0,66.8374534008223
5.0,48.465667151475174
5.0,43.94371210522812
5.0,12.08343925651187
5.0,21.5371465625238
5.0,38.09970940493759
5.0,32.26332717528966
5.0,14.034220595309481
5.0,16.001819693082723
5.0,17.031575369231575
5.0,25.185048511207647
5.0,24.520748583369336
5.0,28.466663570811995
5.0,13.928901711503917
5.0,29.078670892181044
5.0,9.427509094298571
5.0,19.409884142376452
5.0,27.81162217963923
5.0,232.3657805797346
5.0,57.082391613770206
5.0,28.438407168695946
5.0,42.48358178647696
5.0,7.260443460671502
5.0,12.074224474024701
5.0,17.88549895509227
5.0,24.192097584948517
5.0,28.85252288767089
5.0,34.729627027126945
5.0,33.31801188347511
5.0,20.00178885467002
5.0,27.789161314403696
5.0,24.602906317054185
5.0,72.29299768478477
5.0,45.316136420145725
5.0,34.03209391078692
5.0,25.316436143580624
5.0,17.256956543949077
5.0,26.92832414956973
5.0,44.42042851660248
5.0,16.12588435949407
5.0,28.855082508730398
5.0,8.595925141799961
5.0,6.402608543567139
5.0,61.62467062241671
5.0,36.63878830736613
5.0,16.124748382939085
5.0,31.79474092326007
5.0,14.867528315597287
5.0,37.128857313007316
5.0,17.263780488348047
5.0,31.154309444906676
5.0,54.15263528821682
6.0,32.28268321102092
6.0,16.496854326217516
6.0,10.43581543577084
6.0,9.471926066088034
6.0,12.988369176765609
6.0,53.98144024323876
6.0,19.804716452921227
6.0,17.810132195553855
6.0,36.76312485225104
6.0,45.0130468805315
6.0,16.127450208306893
6.0,23.033328921806817
6.0,31.285562223473832
6.0,18.439716526717863
6.0,21.54891461375411
6.0,23.719319215242102
6.0,25.824161402621456
6.0,30.441703208558444
6.0,39.46945715081626
6.0,14.312972442618085
6.0,11.693717802866376
6.0,24.055128816125684
6.0,10.197926402465452
6.0,16.126070314760113
6.0,13.039885929903981
6.0,13.002154652624801
6.0,16.033279047053956
6.0,26.49493117272604
6.0,28.481963370793657
6.0,24.611346499847933
6.0,7.208158152417059
6.0,9.993142783021549
6.0,11.403214732214513
6.0,21.942285486269604
6.0,59.0273690748171
6.0,17.469128843654072
6.0,24.360036621996276
6.0,31.429693014521245
6.0,21.032095282943878
6.0,48.62262692431435
6.0,22.146787047420332
6.0,15.233599828503205
6.0,19.72566955524665
6.0,30.831433037526086
6.0,41.10586601741988
6.0,19.42200188286118
6.0,38.060571052383594
6.0,51.33109068148515
6.0,15.035035045701608
6.0,9.999925333130085
7.0,16.290160474375867
7.0,14.8756181944539
7.0,30.643726232141088
7.0,65.24288382526824
7.0,3.130869445672113
7.0,48.72239866523241
7.0,21.059471655532747
7.0,12.211497379217958
7.0,15.571150093824143
7.0,15.824623238252777
7.0,41.39053091238947
7.0,14.043296507136557
7.0,15.1403382714985
7.0,13.346615337723991
7.0,17.890233662662293
7.0,39.95224792678119
7.0,88.44777620673977
7.0,15.823085660830598
7.0,17.012533590394845
7.0,42.8341797565299
7.0,16.569694295292887
7.0,26.55130671220745
7.0,12.006368312966822
